task_id,answer,correct_answer
575,Ване.,он должен денег
576,Он закончил,он закончил
577,"В Архангельске _ (например, я отдыхал, проводил время с друзьями, изучал город и т.д.)",я был на каникулах
578,Когда мы пойдем в кино? _Мы пойдем в кино_ сразу после обеда.,мы пойдем в кино
579,Год назад я был в театре.,я в последний раз был в театре
580,произошла,в метро сегодня такие пробки
581,"через другие платформы, такие как TikTok, YouTube и Facebook.",блогеры находят новых клиентов для своего бизнеса
582,"это стихотворение посвящено его няне,",это стихотворение посвящено
583,человек,пришло на мастер-класс
584,О нашем бывшем однокласснике _.,мы говорили вчера за ужином
585,"в университете, на первом курсе",я научился играть на гитаре так хорошо
586,он наврал своей сестре о чем-то важном.,он наврал
587,На рынке в Тольятти.,я купила такие брюки
588,студии,Вика записывает треки
589,В каком спектакле играет этот актер _ в Пер Гюнте.,этот актер играет
590,Бычий Цепень,у него никнейм в телеграмме
591,"Что он читает в свободное время? Посты про Индию и Пакистан, а также статьи о культуре и истории этих стран.",он читает в свободное время
592,Его любимый день недели -,у него любимый день недели
593,В 20:00.,кафе сегодня закрывается
594,Владельцем сети гипермаркетов Ашан является компания,является владельцем сети гипермаркетов Ашан
595,он учится,он учится
596,он вернется в пятницу.,он вернется
597,Стивен Кинг является любимым писателем Кати.,Катин любимый писатель
598,Что вы ели на завтрак? Я ел(а) омлет с сосиской.,мы ели на завтрак
599,В прошлом месяце _ она начала работать.,Машу взяли на работу
600,"и, возможно, других своих друзей.",Олег позовет на бал
601,"в гардеробе, который находится в нашем доме.",можно соотавить свои вещи
602,Кто был первым президентом США? _ Джордж Вашингтон.,был первым президентом США
603,Шесть континентов на Земле.,на Земле
604,где именно в Китае,изобрели бумагу
605,Кто открыл Америку? _ Христофор Колумб.,открыл Америку
606,пингвины живут,пингвины живут
607,в каких местах,можно увидеть северное сияние
608,В III веке до н. э. была построена Великая Китайская стена.,Великая Китайская стена была построена
609,"и другие компании, связанные с его предпринимательской деятельностью.",принадлежат Илону Маску
610,корабли,компания Samsung производит
611,основал Amazon,основал Amazon
612,"различные трансформаторы, генераторы и системы беспроводной передачи энергии",Никола Тесла изобрел
613,Что у нас сегодня на ужин? Паста карбонара _с курицей и пармезаном_.,у нас сегодня на ужин
614,"Кто из животных заснул первым, рептилии или млекопитающие?",заснули первыми
615,Валерия Михайловича.,он искал сегодня в университете
616,Этот телефон стоит,стоит этот телефон
617,разбила вазу.,разбила вазу
618,Кто забыл зонт в автобусе? – Молодой человек в чёрной куртке _забыл зонт_.,забыл зонт в автобусе
619,дождь начался,дождь начался
620,Кто именно из студентов разговаривал в библиотеке?,разговаривали в библиотеке
621,Что упало со стола? – Тарелка упала со стола.,упала со стола
622,Секретарь директора _принёс эти документы_.,принёс эти документы
623,откроют новый магазин,откроют новый магазин
624,Красивый ежедневник с гравировкой.,директору на юбилей подарят
625,которые находятся,свежие фрукты можно купить
